["Count", "Myriel"]	
["Myriel", "Count"]	
["MmeMagloire", "Valjean"]	
["Valjean", "MmeMagloire"]	
["Valjean", "Woman2"]	
["Woman2", "Valjean"]	
["Marguerite", "Valjean"]	
["Valjean", "Marguerite"]	
["Myriel", "Napoleon"]	
["Napoleon", "Myriel"]	
["Babet", "Valjean"]	
["Valjean", "Babet"]	
["Simplice", "Valjean"]	
["Valjean", "Simplice"]	
["MlleBaptistine", "Myriel"]	
["Myriel", "MlleBaptistine"]	
["MlleBaptistine", "Valjean"]	
["Valjean", "MlleBaptistine"]	
["Isabeau", "Valjean"]	
["Valjean", "Isabeau"]	
["MlleBaptistine", "MmeMagloire"]	
["MmeMagloire", "MlleBaptistine"]	
["Fantine", "Valjean"]	
["Valjean", "Fantine"]	
["Myriel", "OldMan"]	
["OldMan", "Myriel"]	
["Cosette", "Valjean"]	
["Valjean", "Cosette"]	
["Labarre", "Valjean"]	
["Valjean", "Labarre"]	
["Montparnasse", "Valjean"]	
["Valjean", "Montparnasse"]	
["MmeMagloire", "Myriel"]	
["Myriel", "MmeMagloire"]	
["MlleGillenormand", "Valjean"]	
["Valjean", "MlleGillenormand"]	
["Gillenormand", "Valjean"]	
["Valjean", "Gillenormand"]	
["Valjean", "Woman1"]	
["Woman1", "Valjean"]	
["Judge", "Valjean"]	
["Valjean", "Judge"]	
["MmeDeR", "Valjean"]	
["Valjean", "MmeDeR"]	
["Geborand", "Myriel"]	
["Myriel", "Geborand"]	
